word		translation	chapter
sea snail		Meeresschnecke	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
socialise		unter Leuten sein	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
swimming pool		Schwimmbecken	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
two-stringed		mit zwei Saiten	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
vibrant		lebendig, dynamisch	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
video diary		Videotagebuch	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
advertise		Werbung machen für, inserieren	Open World (2015) - Unit 7 - 04 Festivals and celebrations
advertisement		Werbung, Inserat	Open World (2015) - Unit 7 - 04 Festivals and celebrations
attraction		hierː Attraktion	Open World (2015) - Unit 7 - 04 Festivals and celebrations
back-to-back		Rücken an Rücken	Open World (2015) - Unit 7 - 04 Festivals and celebrations
celebrate		feiern	Open World (2015) - Unit 7 - 04 Festivals and celebrations
celebration		Feier	Open World (2015) - Unit 7 - 04 Festivals and celebrations
colourful		farbenfroh, bunt	Open World (2015) - Unit 7 - 04 Festivals and celebrations
crowd		Menschenmenge	Open World (2015) - Unit 7 - 04 Festivals and celebrations
cultural		kulturell	Open World (2015) - Unit 7 - 04 Festivals and celebrations
energetic		energiegeladen	Open World (2015) - Unit 7 - 04 Festivals and celebrations
entertainment		Unterhaltung	Open World (2015) - Unit 7 - 04 Festivals and celebrations
facilities (pl)		Einrichtungen, Anlagen	Open World (2015) - Unit 7 - 04 Festivals and celebrations
flyer		Flyer, Flugblatt	Open World (2015) - Unit 7 - 04 Festivals and celebrations
lantern		Laterne, Lampion	Open World (2015) - Unit 7 - 04 Festivals and celebrations
location		Ort, Drehort	Open World (2015) - Unit 7 - 04 Festivals and celebrations
procession		Umzug	Open World (2015) - Unit 7 - 04 Festivals and celebrations
publicity		Werbung, Publicity	Open World (2015) - Unit 7 - 04 Festivals and celebrations
remind		erinnern	Open World (2015) - Unit 7 - 04 Festivals and celebrations
spell		buchstabieren	Open World (2015) - Unit 7 - 04 Festivals and celebrations
spit fire		Feuer speien	Open World (2015) - Unit 7 - 04 Festivals and celebrations
sponsor		Sponsor/-in	Open World (2015) - Unit 7 - 04 Festivals and celebrations
take place		stattfinden	Open World (2015) - Unit 7 - 04 Festivals and celebrations
taxi		Taxi	Open World (2015) - Unit 7 - 04 Festivals and celebrations
toilet		Toilette, WC	Open World (2015) - Unit 7 - 04 Festivals and celebrations
Torontonian		von Toronto	Open World (2015) - Unit 7 - 04 Festivals and celebrations
transport		hier: Verkehrsmittel	Open World (2015) - Unit 7 - 04 Festivals and celebrations
visitor		Besucher/-in	Open World (2015) - Unit 7 - 04 Festivals and celebrations
beginner		Anfänger/-in	Open World (2015) - Unit 7 - 05 Diversity is our strength
coach		trainieren	Open World (2015) - Unit 7 - 05 Diversity is our strength
diversity		Vielfalt	Open World (2015) - Unit 7 - 05 Diversity is our strength
elderly		ältere(r, s)	Open World (2015) - Unit 7 - 05 Diversity is our strength
identity		Identität	Open World (2015) - Unit 7 - 05 Diversity is our strength
integrate		sich integrieren	Open World (2015) - Unit 7 - 05 Diversity is our strength
integration		Integration	Open World (2015) - Unit 7 - 05 Diversity is our strength
intention		Absicht, Vorhaben	Open World (2015) - Unit 7 - 05 Diversity is our strength
litter		Müll, Abfall	Open World (2015) - Unit 7 - 05 Diversity is our strength
native country		Heimatland	Open World (2015) - Unit 7 - 05 Diversity is our strength
Nigeria		Nigeria	Open World (2015) - Unit 7 - 05 Diversity is our strength
origins (pl)		Herkunft	Open World (2015) - Unit 7 - 05 Diversity is our strength
permanently		hierː für immer	Open World (2015) - Unit 7 - 05 Diversity is our strength
pharmaceutical		pharmazeutisch	Open World (2015) - Unit 7 - 05 Diversity is our strength
pharmacy		Pharmazie	Open World (2015) - Unit 7 - 05 Diversity is our strength
photo		Foto	Open World (2015) - Unit 7 - 05 Diversity is our strength
royal		königlich	Open World (2015) - Unit 7 - 05 Diversity is our strength
strength		Stärke	Open World (2015) - Unit 7 - 05 Diversity is our strength
United Kingdom		Vereinigtes Königreich	Open World (2015) - Unit 7 - 05 Diversity is our strength
cardboard		Karton	Open World (2015) - Unit 7 - 06 Focus
contribution		hierː Beitrag	Open World (2015) - Unit 7 - 06 Focus
divide		teilen, unterteilen	Open World (2015) - Unit 7 - 06 Focus
equal		gleich	Open World (2015) - Unit 7 - 06 Focus
mix		Mix	Open World (2015) - Unit 7 - 06 Focus
rainbow		Regenbogen	Open World (2015) - Unit 7 - 06 Focus
